run,epoch,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_loss
Adam/validation,1,0.8994,0.8998075496611218,0.898334411420343,0.8985626767305869,0.6096033480205069
Adam/validation,2,0.9446,0.9440855903727986,0.9442512418607784,0.9440877188254408,0.39426416489048044
Adam/validation,3,0.9492,0.9494162506518439,0.9484683252945727,0.9487411374478931,0.35038689172297804
Adam/validation,4,0.9583,0.9585130010378922,0.9578167876021053,0.9580264991255412,0.33460306180010735
Adam/validation,5,0.9593,0.959106657968934,0.9588930011479231,0.9588907896146728,0.25812334914084595
Adam/validation,6,0.9628,0.9629870008385893,0.9624138213911145,0.9625698443792905,0.25763087211842384
Adam/validation,7,0.9669,0.9670498551392483,0.9665642901624887,0.9667182255847347,0.21926037923945668
Adam/validation,8,0.9685,0.9685819728911558,0.9680704605633401,0.9682152064399077,0.29671632451903823
Adam/validation,9,0.9682,0.9682897755791023,0.9677111354399205,0.9679076135640837,0.22829393170082563
Adam/validation,10,0.967,0.9671869830512276,0.9666657506062348,0.9668355982230595,0.2153257591608103
Adam/validation,11,0.9683,0.968254033155705,0.9680311365110367,0.9680859353118473,0.16081925913527367
Adam/validation,12,0.969,0.969166966277353,0.9685288583627317,0.9687718433497592,0.3274115708865941
Adam/validation,13,0.9713,0.9715606746221599,0.9709345795486497,0.9711407305846735,0.26979161630233217
Adam/validation,14,0.9714,0.9713762647837771,0.9711501088627237,0.9712110196450899,0.17602026771861184
Adam/validation,15,0.9702,0.9704181242081662,0.9698055725947808,0.9699857117056618,0.16873961097474885
Adam/validation,16,0.9736,0.973788707802461,0.9733181252504215,0.9734816517752171,0.18304110245041277
Adam/validation,17,0.9726,0.9725372167354778,0.9722781346978907,0.9723749722071666,0.19220366021283203
Adam/validation,18,0.9729,0.9730096747338213,0.9724862921961945,0.9726863660325872,0.28644576411956046
Adam/validation,19,0.9715,0.9714971274399528,0.9712510370496575,0.9713123920677266,0.1780222578840044
Adam/validation,20,0.9737,0.9738234910523211,0.9733528643649569,0.9735346769565588,0.24700989946986923
Adam/validation,21,0.9749,0.9749472958599201,0.974684368213871,0.9747728674467566,0.1538504759349696
Adam/validation,22,0.9728,0.9728948908376596,0.9724569401347596,0.9726305762672277,0.17731517446625755
Adam/validation,23,0.9745,0.9744894123044959,0.9743169688875186,0.9743712334856246,0.17007312460652324
Adam/validation,24,0.975,0.9751411802022705,0.9746669998179082,0.9748587928468625,0.20276423812544597
Adam/validation,25,0.9741,0.9742546285070871,0.9739176123134264,0.9740222098232131,0.2725822484220468
Adam/validation,26,0.9737,0.9737707572068169,0.9734231317538125,0.9735590888564254,0.10769051220004791
Adam/validation,27,0.975,0.9749911431638006,0.9747952660477803,0.9748243350944021,0.15372682415809888
Adam/validation,28,0.9738,0.9738288452286271,0.9735253288531134,0.973642808029048,0.13013557107149104
Adam/validation,29,0.9761,0.976107100459568,0.9758432970698013,0.9759624264537429,0.11081636083234314
Adam/validation,30,0.9747,0.974710667412452,0.9743925098061176,0.9745125391136028,0.12760989877735174
Adam/validation,31,0.9741,0.974359679409087,0.973616450330501,0.9739108222604681,0.16434813052533137
Adam/validation,32,0.9763,0.9762408853229075,0.9761152587804837,0.9761431745169574,0.14870368785233423
Adam/validation,33,0.9757,0.9757523070866181,0.9753674029162637,0.9755369360790013,0.17208211293870773
Adam/validation,34,0.9759,0.9759542307490703,0.9756241718715227,0.9757523958753437,0.1734761144419667
Adam/validation,35,0.9748,0.9751170843054519,0.9742563409998309,0.9745821178331522,0.15515236445466363
Adam/validation,36,0.9756,0.975708454300128,0.9753161336758573,0.9754585718139092,0.1273202446399857
Adam/validation,37,0.9757,0.9757704073925485,0.9753895357348776,0.9755213108105917,0.10178023157661577
Adam/validation,38,0.9761,0.9763277991158169,0.9757725279035826,0.975997099347073,0.1807956110893649
Adam/validation,39,0.9776,0.9775691439591284,0.9774046325527044,0.9774664597677273,0.11731816850577775
Adam/validation,40,0.9769,0.9770869002751349,0.9766203084605636,0.9767909857836548,0.10234493818081822
Adam/validation,41,0.9772,0.977189431406995,0.9769648928516258,0.9770603858156133,0.13712197916922028
Adam/validation,42,0.9752,0.9753425991938973,0.9748827713449488,0.9750722602212099,0.10389905910600403
Adam/validation,43,0.9776,0.9776321776056796,0.9773781176539847,0.9774818952824005,0.1377914101708705
Adam/validation,44,0.9772,0.9773780436131089,0.9769148141741375,0.9770996806896548,0.19328690474461602
Adam/validation,45,0.9775,0.9776135918599419,0.977218757489274,0.9773729710551301,0.14446382101517974
Adam/validation,46,0.9756,0.9756885814291893,0.9753601840868532,0.9754762114895039,0.11082297222195348
Adam/validation,47,0.976,0.9761248276672203,0.9755530425393916,0.9757698120217488,0.17183299288506235
Adam/validation,48,0.9767,0.9768933225843917,0.9762889309438458,0.9765273565603587,0.11136800455897086
Adam/validation,49,0.9768,0.9769037689003648,0.9765138604922162,0.9766697426971177,0.2105058960900036
Adam/validation,50,0.9777,0.9778579045282644,0.9772700706230999,0.9775109905406782,0.1547708436022526
